artifact_name,form
嘉庆款五彩龙凤纹碗,口（形制）
嘉庆款五彩龙凤纹碗,撇口
嘉庆款五彩龙凤纹碗,腹（形制）
嘉庆款五彩龙凤纹碗,弧腹
嘉庆款五彩龙凤纹碗,深弧腹
嘉庆款五彩龙凤纹碗,足（形制）
嘉庆款五彩龙凤纹碗,圈足
斗彩龙凤穿花纹带盖梅瓶,钮（形制）
斗彩龙凤穿花纹带盖梅瓶,圆珠钮
斗彩龙凤穿花纹带盖梅瓶,盖（形制）
斗彩龙凤穿花纹带盖梅瓶,口（形制）
斗彩龙凤穿花纹带盖梅瓶,小口
斗彩龙凤穿花纹带盖梅瓶,足（形制）
斗彩龙凤穿花纹带盖梅瓶,圈足
斗彩龙凤穿花纹带盖梅瓶,唇（形制）
斗彩龙凤穿花纹带盖梅瓶,圆唇
斗彩龙凤穿花纹带盖梅瓶,短颈
斗彩龙凤穿花纹带盖梅瓶,颈（形制）
斗彩龙凤穿花纹带盖梅瓶,肩（形制）
斗彩龙凤穿花纹带盖梅瓶,丰肩
祭蓝釉白龙纹盘,口（形制）
祭蓝釉白龙纹盘,口沿
祭蓝釉白龙纹盘,折沿
祭蓝釉白龙纹盘,腹（形制）
祭蓝釉白龙纹盘,浅腹
祭蓝釉白龙纹盘,底（形制）
祭蓝釉白龙纹盘,平底
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,撇足
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,联式
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,双联式
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,钮（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,圆珠钮
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,盖（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,伞形盖
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,口（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,盘口
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,腹（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,鼓腹
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,足（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,圈足
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,溜肩
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,颈（形制）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,束颈
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,肩（形制）
青花海水白龙纹扁瓶,口（形制）
青花海水白龙纹扁瓶,撇口
青花海水白龙纹扁瓶,腹（形制）
青花海水白龙纹扁瓶,扁圆腹
青花海水白龙纹扁瓶,扁圆腹
青花海水白龙纹扁瓶,足（形制）
青花海水白龙纹扁瓶,圈足
青花海水白龙纹扁瓶,溜肩
青花海水白龙纹扁瓶,颈（形制）
青花海水白龙纹扁瓶,束颈
青花海水白龙纹扁瓶,肩（形制）
康熙款豇豆红釉菊瓣瓶,FormAndStructure
各色釉彩大瓶,撇足
各色釉彩大瓶,口（形制）
各色釉彩大瓶,盘口
各色釉彩大瓶,腹（形制）
各色釉彩大瓶,鼓腹
各色釉彩大瓶,足（形制）
各色釉彩大瓶,圈足
各色釉彩大瓶,颈（形制）
各色釉彩大瓶,束颈
各色釉彩大瓶,肩（形制）
各色釉彩大瓶,斜肩
各色釉彩大瓶,耳（形制）
各色釉彩大瓶,双耳
各色釉彩大瓶,螭形耳
万历款青花五彩鱼藻纹蒜头瓶,口（形制）
万历款青花五彩鱼藻纹蒜头瓶,蒜头口
万历款青花五彩鱼藻纹蒜头瓶,腹（形制）
万历款青花五彩鱼藻纹蒜头瓶,圆腹
万历款青花五彩鱼藻纹蒜头瓶,足（形制）
万历款青花五彩鱼藻纹蒜头瓶,圈足
万历款青花五彩鱼藻纹蒜头瓶,颈（形制）
万历款青花五彩鱼藻纹蒜头瓶,长颈
万历款青花五彩鱼藻纹蒜头瓶,束颈
越窑青釉双系执壶,口（形制）
越窑青釉双系执壶,撇口
越窑青釉双系执壶,腹（形制）
越窑青釉双系执壶,橄榄形腹
越窑青釉双系执壶,瓜棱腹
越窑青釉双系执壶,足（形制）
越窑青釉双系执壶,圈足
越窑青釉双系执壶,浅圈足
越窑青釉双系执壶,溜肩
越窑青釉双系执壶,流（形制）
越窑青釉双系执壶,弯流
越窑青釉双系执壶,颈（形制）
越窑青釉双系执壶,束颈
越窑青釉双系执壶,肩（形制）
越窑青釉双系执壶,柄（形制）
越窑青釉双系执壶,系（形制）
越窑青釉双系执壶,双系
越窑青釉双系执壶,环形系
越窑青釉双系执壶,竖系
越窑青釉双系执壶,曲柄
钧窑天蓝釉长方花盆　,FormAndStructure
哥窑青釉双耳三足炉,口（形制）
