artifact_name,object_type
嘉庆款五彩龙凤纹碗,五彩瓷
嘉庆款五彩龙凤纹碗,器皿
嘉庆款五彩龙凤纹碗,碗（容器）
嘉庆款五彩龙凤纹碗,瓷碗
嘉庆款五彩龙凤纹碗,彩瓷
嘉庆款五彩龙凤纹碗,瓷（陶瓷）
嘉庆款五彩龙凤纹碗,陶瓷
嘉庆款五彩龙凤纹碗,五彩碗
嘉庆款五彩龙凤纹碗,釉上彩瓷
斗彩龙凤穿花纹带盖梅瓶,斗彩瓷
斗彩龙凤穿花纹带盖梅瓶,器皿
斗彩龙凤穿花纹带盖梅瓶,瓶（容器）
斗彩龙凤穿花纹带盖梅瓶,瓷瓶
斗彩龙凤穿花纹带盖梅瓶,梅瓶
斗彩龙凤穿花纹带盖梅瓶,彩瓷
斗彩龙凤穿花纹带盖梅瓶,瓷（陶瓷）
斗彩龙凤穿花纹带盖梅瓶,斗彩瓶
斗彩龙凤穿花纹带盖梅瓶,盖瓶
斗彩龙凤穿花纹带盖梅瓶,瓶（陈设）
斗彩龙凤穿花纹带盖梅瓶,陶瓷
斗彩龙凤穿花纹带盖梅瓶,釉下彩瓷
祭蓝釉白龙纹盘,陶瓷器
祭蓝釉白龙纹盘,瓷器
祭蓝釉白龙纹盘,容器
祭蓝釉白龙纹盘,盘（容器）
祭蓝釉白龙纹盘,瓷盘
祭蓝釉白龙纹盘,承盘
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,粉彩瓷
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,器皿
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,瓶（容器）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,瓷瓶
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,彩瓷
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,瓷（陶瓷）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,粉彩瓶
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,合欢瓶
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,陶瓷
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,釉上彩瓷
青花海水白龙纹扁瓶,青花瓷
青花海水白龙纹扁瓶,器皿
青花海水白龙纹扁瓶,瓶（容器）
青花海水白龙纹扁瓶,瓷瓶
青花海水白龙纹扁瓶,扁瓶
青花海水白龙纹扁瓶,彩瓷
青花海水白龙纹扁瓶,瓷（陶瓷）
青花海水白龙纹扁瓶,明青花
青花海水白龙纹扁瓶,青花瓶
青花海水白龙纹扁瓶,陶瓷
青花海水白龙纹扁瓶,宣德青花
青花海水白龙纹扁瓶,釉下彩瓷
康熙款豇豆红釉菊瓣瓶,口（形制）
康熙款豇豆红釉菊瓣瓶,撇口
康熙款豇豆红釉菊瓣瓶,腹（形制）
康熙款豇豆红釉菊瓣瓶,鼓腹
康熙款豇豆红釉菊瓣瓶,足（形制）
康熙款豇豆红釉菊瓣瓶,圈足
康熙款豇豆红釉菊瓣瓶,溜肩
康熙款豇豆红釉菊瓣瓶,颈（形制）
康熙款豇豆红釉菊瓣瓶,长颈
康熙款豇豆红釉菊瓣瓶,细颈
康熙款豇豆红釉菊瓣瓶,肩（形制）
各色釉彩大瓶,瓷器
各色釉彩大瓶,器皿
各色釉彩大瓶,瓶（容器）
各色釉彩大瓶,瓷瓶
各色釉彩大瓶,彩瓷
各色釉彩大瓶,瓷（陶瓷）
各色釉彩大瓶,大瓶
各色釉彩大瓶,陶瓷
万历款青花五彩鱼藻纹蒜头瓶,器皿
万历款青花五彩鱼藻纹蒜头瓶,瓶（容器）
